2023-08-23 14:11:53,055 INFO    MainThread:14671 [wandb_setup.py:_flush():76] Current SDK version is 0.15.5
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_setup.py:_flush():76] Configure stats pid to 14671
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_setup.py:_flush():76] Loading settings from /Users/sohrabnamazinia/.config/wandb/settings
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_setup.py:_flush():76] Loading settings from /Users/sohrabnamazinia/Desktop/Summer 23/RA/RL/RL_Modular/wandb/settings
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'min_max_iter.py', 'program': '/Users/sohrabnamazinia/Desktop/Summer 23/RA/RL/RL_Modular/min_max_iter.py'}
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_init.py:_log_setup():507] Logging user logs to /Users/sohrabnamazinia/Desktop/Summer 23/RA/RL/RL_Modular/wandb/run-20230823_141153-4yd3pbal/logs/debug.log
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/sohrabnamazinia/Desktop/Summer 23/RA/RL/RL_Modular/wandb/run-20230823_141153-4yd3pbal/logs/debug-internal.log
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_init.py:init():547] calling init triggers
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_init.py:init():596] starting backend
2023-08-23 14:11:53,056 INFO    MainThread:14671 [wandb_init.py:init():600] setting up manager
2023-08-23 14:11:53,059 INFO    MainThread:14671 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-08-23 14:11:53,061 INFO    MainThread:14671 [wandb_init.py:init():606] backend started and connected
2023-08-23 14:11:53,063 INFO    MainThread:14671 [wandb_init.py:init():705] updated telemetry
2023-08-23 14:11:53,111 INFO    MainThread:14671 [wandb_init.py:init():738] communicating run to backend with 60.0 second timeout
2023-08-23 14:11:53,374 INFO    MainThread:14671 [wandb_run.py:_on_init():2173] communicating current version
2023-08-23 14:11:53,433 INFO    MainThread:14671 [wandb_run.py:_on_init():2182] got version response upgrade_message: "wandb version 0.15.8 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-08-23 14:11:53,433 INFO    MainThread:14671 [wandb_init.py:init():789] starting run threads in backend
2023-08-23 14:11:53,536 INFO    MainThread:14671 [wandb_run.py:_console_start():2152] atexit reg
2023-08-23 14:11:53,537 INFO    MainThread:14671 [wandb_run.py:_redirect():2007] redirect: 3
2023-08-23 14:11:53,537 INFO    MainThread:14671 [wandb_run.py:_redirect():2072] Wrapping output streams.
2023-08-23 14:11:53,537 INFO    MainThread:14671 [wandb_run.py:_redirect():2097] Redirects installed.
2023-08-23 14:11:53,538 INFO    MainThread:14671 [wandb_init.py:init():830] run started, returning control to user process
2023-08-23 14:11:54,848 INFO    MainThread:14671 [wandb_run.py:_finish():1887] finishing run bdal/Train_Q/4yd3pbal
2023-08-23 14:11:54,848 INFO    MainThread:14671 [wandb_run.py:_atexit_cleanup():2121] got exitcode: 0
2023-08-23 14:11:54,849 INFO    MainThread:14671 [wandb_run.py:_restore():2104] restore
2023-08-23 14:11:54,849 INFO    MainThread:14671 [wandb_run.py:_restore():2110] restore done
2023-08-23 14:11:58,424 INFO    MainThread:14671 [wandb_run.py:_footer_history_summary_info():3464] rendering history
2023-08-23 14:11:58,424 INFO    MainThread:14671 [wandb_run.py:_footer_history_summary_info():3496] rendering summary
2023-08-23 14:11:58,429 INFO    MainThread:14671 [wandb_run.py:_footer_sync_info():3423] logging synced files
